Date,State,Persons,Cost Per Person
10/1/21,Alabama,763817,248.35
11/1/21,Alabama,764815,248.06
12/1/21,Alabama,763238,247.58
1/1/22,Alabama,753604,239.71
2/1/22,Alabama,750939,247.85
3/1/22,Alabama,752652,212.98
4/1/22,Alabama,752203,244.56
5/1/22,Alabama,756709,219.32
6/1/22,Alabama,761205,243.23
7/1/22,Alabama,765005,245.38
8/1/22,Alabama,774318,247.50
9/1/22,Alabama,774378,196.32
10/1/21,Arizona,786744,238.57
11/1/21,Arizona,770978,237.49
12/1/21,Arizona,781094,238.14
1/1/22,Arizona,781330,223.21
2/1/22,Arizona,799080,217.51
3/1/22,Arizona,816207,213.86
4/1/22,Arizona,831414,226.26
5/1/22,Arizona,840737,149.73
6/1/22,Arizona,839147,127.20
7/1/22,Arizona,865244,154.33
8/1/22,Arizona,884668,154.82
9/1/22,Arizona,911352,155.38
10/1/21,Arkansas,324286,149.83
11/1/21,Arkansas,319455,151.52
12/1/21,Arkansas,314293,153.14
1/1/22,Arkansas,309537,148.25
2/1/22,Arkansas,304315,148.22
3/1/22,Arkansas,306489,150.78
4/1/22,Arkansas,305297,149.11
5/1/22,Arkansas,295010,150.32
6/1/22,Arkansas,190976,222.48
7/1/22,Arkansas,235309,166.43
8/1/22,Arkansas,238828,85.32
9/1/22,Arkansas,229553,154.08
10/1/21,California,4488318,260.41
11/1/21,California,4528129,258.93
12/1/21,California,4465861,264.65
1/1/22,California,4470515,262.65
2/1/22,California,4489949,260.04
3/1/22,California,4572651,259.20
4/1/22,California,4612800,259.04
5/1/22,California,4669304,258.43
6/1/22,California,4741370,257.69
7/1/22,California,4896195,254.44
8/1/22,California,4553236,277.12
9/1/22,California,5044603,246.54
10/1/21,Colorado,504963,246.88
11/1/21,Colorado,512732,245.88
12/1/21,Colorado,559785,227.53
1/1/22,Colorado,515705,242.22
2/1/22,Colorado,521159,226.74
3/1/22,Colorado,532046,228.76
4/1/22,Colorado,541308,211.88
5/1/22,Colorado,535919,237.49
6/1/22,Colorado,542173,241.31
7/1/22,Colorado,543840,241.55
8/1/22,Colorado,601114,226.40
9/1/22,Colorado,572893,158.45
10/1/21,Connecticut,369252,261.40
11/1/21,Connecticut,365484,258.85
12/1/21,Connecticut,368265,266.35
1/1/22,Connecticut,369521,258.75
2/1/22,Connecticut,373068,259.87
3/1/22,Connecticut,374648,259.70
4/1/22,Connecticut,376639,237.46
5/1/22,Connecticut,378366,257.42
6/1/22,Connecticut,380397,257.50
7/1/22,Connecticut,381393,246.07
8/1/22,Connecticut,383809,213.11
9/1/22,Connecticut,383490,198.21
10/1/21,Florida,3043731,155.17
11/1/21,Florida,2974930,155.53
12/1/21,Florida,2903034,155.55
1/1/22,Florida,2791040,148.64
2/1/22,Florida,2760132,137.93
3/1/22,Florida,2781226,143.76
4/1/22,Florida,2786261,157.15
5/1/22,Florida,2797922,144.60
6/1/22,Florida,2835905,153.68
7/1/22,Florida,2841401,152.53
8/1/22,Florida,2834015,109.45
9/1/22,Florida,2815431,131.95
10/1/21,Georgia,1588342,264.09
11/1/21,Georgia,1603834,244.49
12/1/21,Georgia,1624871,241.29
1/1/22,Georgia,1604288,215.95
2/1/22,Georgia,1615215,242.59
3/1/22,Georgia,1619056,239.76
4/1/22,Georgia,1607936,258.42
5/1/22,Georgia,1593122,243.92
6/1/22,Georgia,1588857,161.67
7/1/22,Georgia,1636607,159.29
8/1/22,Georgia,1619121,152.01
9/1/22,Georgia,1597184,122.41
10/1/21,Illinois,1883995,249.71
