State,Category,Year,AverageUnitPrice
Alabama,Alcohol,2019.0,8.116496319181648
Alabama,Alcohol,2020.0,8.532276032532742
Alabama,Alcohol,2021.0,8.679920920003285
Alabama,Alcohol,2022.0,8.837420914014942
Alabama,Beverages,2019.0,2.2895191817170253
Alabama,Beverages,2020.0,2.3889089229595735
Alabama,Beverages,2021.0,2.57333750762896
Alabama,Beverages,2022.0,2.8942914347264526
Alabama,Commercially prepared items,2019.0,2.421890939123966
Alabama,Commercially prepared items,2020.0,2.517346643601898
Alabama,Commercially prepared items,2021.0,2.6995407828357707
Alabama,Commercially prepared items,2022.0,3.0895401947160646
Alabama,Dairy,2019.0,2.752352992659331
Alabama,Dairy,2020.0,2.854251346762653
Alabama,Dairy,2021.0,2.9519797818613855
Alabama,Dairy,2022.0,3.3415436000549836
Alabama,Fats and oils,2019.0,3.2521756499348156
Alabama,Fats and oils,2020.0,3.3800737178393683
Alabama,Fats and oils,2021.0,3.7233100902184555
Alabama,Fats and oils,2022.0,4.679907769326369
Alabama,Fruits,2019.0,2.545731314918583
Alabama,Fruits,2020.0,2.648215733140112
Alabama,Fruits,2021.0,2.8283925449501766
Alabama,Fruits,2022.0,3.078671437741009
Alabama,Grains,2019.0,2.1369278126568987
Alabama,Grains,2020.0,2.201811024660572
Alabama,Grains,2021.0,2.3076659879096937
Alabama,Grains,2022.0,2.639098578383279
Alabama,"Meats, eggs, and nuts",2019.0,4.164380440236103
Alabama,"Meats, eggs, and nuts",2020.0,4.3547334348432845
Alabama,"Meats, eggs, and nuts",2021.0,4.628393196352727
Alabama,"Meats, eggs, and nuts",2022.0,5.183245633107275
Alabama,Sugar and sweeteners,2019.0,2.7547759381511323
Alabama,Sugar and sweeteners,2020.0,3.1812861088931923
Alabama,Sugar and sweeteners,2021.0,3.486840887830618
Alabama,Sugar and sweeteners,2022.0,3.9507635633738327
Alabama,Vegetables,2019.0,1.7560909130055138
Alabama,Vegetables,2020.0,1.8746463190704223
Alabama,Vegetables,2021.0,1.9662899310913897
Alabama,Vegetables,2022.0,2.196941700339194
Arizona,Alcohol,2019.0,7.9754776237580565
Arizona,Alcohol,2020.0,8.381013342422243
Arizona,Alcohol,2021.0,8.525801500612054
Arizona,Alcohol,2022.0,8.728740544758763
Arizona,Beverages,2019.0,2.454311756368878
Arizona,Beverages,2020.0,2.478936373079264
Arizona,Beverages,2021.0,2.627039389849465
Arizona,Beverages,2022.0,3.011618307127957
Arizona,Commercially prepared items,2019.0,2.5877233157678154
Arizona,Commercially prepared items,2020.0,2.6832085716628242
Arizona,Commercially prepared items,2021.0,2.855152404016759
Arizona,Commercially prepared items,2022.0,3.2481007930106247
Arizona,Dairy,2019.0,2.581566002827384
Arizona,Dairy,2020.0,2.7191423181096774
Arizona,Dairy,2021.0,2.8221241932922547
Arizona,Dairy,2022.0,3.1975846279776814
Arizona,Fats and oils,2019.0,3.425718309568499
Arizona,Fats and oils,2020.0,3.5892471513357997
Arizona,Fats and oils,2021.0,3.7736606408110203
Arizona,Fats and oils,2022.0,4.664536855674409
Arizona,Fruits,2019.0,2.0534582548987577
Arizona,Fruits,2020.0,2.114428011419199
Arizona,Fruits,2021.0,2.2825629068219735
Arizona,Fruits,2022.0,2.536313141626461
Arizona,Grains,2019.0,2.148555765420214
Arizona,Grains,2020.0,2.30157541454483
Arizona,Grains,2021.0,2.397786193450864
Arizona,Grains,2022.0,2.7026106246941137
Arizona,"Meats, eggs, and nuts",2019.0,4.379858525364113
Arizona,"Meats, eggs, and nuts",2020.0,4.545916396727405
Arizona,"Meats, eggs, and nuts",2021.0,4.809481705105851
Arizona,"Meats, eggs, and nuts",2022.0,5.3680457540792546
Arizona,Sugar and sweeteners,2019.0,3.046449803808601
Arizona,Sugar and sweeteners,2020.0,3.600097165930696
Arizona,Sugar and sweeteners,2021.0,3.8117367441723484
Arizona,Sugar and sweeteners,2022.0,4.29084538567466
Arizona,Vegetables,2019.0,1.5653989506546162
Arizona,Vegetables,2020.0,1.614026417346813
Arizona,Vegetables,2021.0,1.653770398395129
Arizona,Vegetables,2022.0,1.7976239127197593
Arkansas,Alcohol,2019.0,7.553592174667873
Arkansas,Alcohol,2020.0,8.123521924881693
Arkansas,Alcohol,2021.0,8.507624228590952
Arkansas,Alcohol,2022.0,9.029690535879418
Arkansas,Beverages,2019.0,2.481428110805712
Arkansas,Beverages,2020.0,2.56991787144207
Arkansas,Beverages,2021.0,2.7268562963845264
Arkansas,Beverages,2022.0,3.057531983125705
Arkansas,Commercially prepared items,2019.0,2.3921516111989325
Arkansas,Commercially prepared items,2020.0,2.504562019346225
Arkansas,Commercially prepared items,2021.0,2.664439389067748
Arkansas,Commercially prepared items,2022.0,3.0271707228962548
Arkansas,Dairy,2019.0,2.7137718585512665
Arkansas,Dairy,2020.0,2.852826914919996
Arkansas,Dairy,2021.0,2.948382805143501
Arkansas,Dairy,2022.0,3.338513692517939
Arkansas,Fats and oils,2019.0,3.2832192577070605
Arkansas,Fats and oils,2020.0,3.394150810262923
Arkansas,Fats and oils,2021.0,3.7085204535583927
Arkansas,Fats and oils,2022.0,4.651334520966361
Arkansas,Fruits,2019.0,2.2557086039602092
Arkansas,Fruits,2020.0,2.339294570935365
Arkansas,Fruits,2021.0,2.5160454836703323
Arkansas,Fruits,2022.0,2.7217779551433074
Arkansas,Grains,2019.0,2.0734445754509854
Arkansas,Grains,2020.0,2.1358360798702583
Arkansas,Grains,2021.0,2.2464432691257814
Arkansas,Grains,2022.0,2.560717761122653
Arkansas,"Meats, eggs, and nuts",2019.0,4.187297432134098
Arkansas,"Meats, eggs, and nuts",2020.0,4.310171329367446
Arkansas,"Meats, eggs, and nuts",2021.0,4.635828201019385
Arkansas,"Meats, eggs, and nuts",2022.0,5.135343486905572
Arkansas,Sugar and sweeteners,2019.0,2.9867269789271114
Arkansas,Sugar and sweeteners,2020.0,3.397385241520827
Arkansas,Sugar and sweeteners,2021.0,3.5877382587596847
Arkansas,Sugar and sweeteners,2022.0,4.073947456036241
Arkansas,Vegetables,2019.0,1.6062889092678936
Arkansas,Vegetables,2020.0,1.7211839434294764
Arkansas,Vegetables,2021.0,1.7865308092799146
Arkansas,Vegetables,2022.0,1.9760594307880475
California,Alcohol,2019.0,9.601381799079151
California,Alcohol,2020.0,9.992391973904294
California,Alcohol,2021.0,10.09594088695823
California,Alcohol,2022.0,10.235320296969286
California,Beverages,2019.0,2.5888758185060987
California,Beverages,2020.0,2.66580526084482
California,Beverages,2021.0,2.8219510104098973
California,Beverages,2022.0,3.1571530230235783
California,Commercially prepared items,2019.0,2.8795407403202202
California,Commercially prepared items,2020.0,2.981399128752287
California,Commercially prepared items,2021.0,3.1270277814637932
California,Commercially prepared items,2022.0,3.562750936711845
California,Dairy,2019.0,3.1543358379071
California,Dairy,2020.0,3.2686802044895966
California,Dairy,2021.0,3.336189925296833
California,Dairy,2022.0,3.684319911200743
California,Fats and oils,2019.0,4.148789479434113
California,Fats and oils,2020.0,4.374690944450081
California,Fats and oils,2021.0,4.482289611882295
