Date,State,Persons,Cost Per Person,Population,Year,Percentage
10/1/19,Alabama,718792.0,120.07,4903185.0,2019.0,0.14659695687598978
11/1/19,Alabama,716466.0,119.89,4903185.0,2019.0,0.14612257134903128
12/1/19,Alabama,711384.0,119.58,4903185.0,2019.0,0.14508610219683737
1/1/20,Alabama,705542.0,117.06,5031362.0,2020.0,0.14022882869489414
2/1/20,Alabama,704788.0,118.49,5031362.0,2020.0,0.1400789686768712
3/1/20,Alabama,706626.0,176.29,5031362.0,2020.0,0.14044427731496958
4/1/20,Alabama,739950.0,174.7,5031362.0,2020.0,0.14706753360223335
5/1/20,Alabama,755038.0,178.92,5031362.0,2020.0,0.15006632398940883
6/1/20,Alabama,755694.0,176.95,5031362.0,2020.0,0.1501967061801556
7/1/20,Alabama,746774.0,176.36,5031362.0,2020.0,0.14842382639134294
8/1/20,Alabama,751129.0,190.45,5031362.0,2020.0,0.1492893971850962
9/1/20,Alabama,756314.0,183.42,5031362.0,2020.0,0.15031993325067844
10/1/19,Arizona,795313.0,122.15,7278717.0,2019.0,0.10926554776068365
11/1/19,Arizona,784993.0,121.41,7278717.0,2019.0,0.10784771546963565
12/1/19,Arizona,776402.0,121.32,7278717.0,2019.0,0.10666742504207816
1/1/20,Arizona,782194.0,120.79,7179943.0,2020.0,0.1089415333798611
2/1/20,Arizona,782903.0,120.73,7179943.0,2020.0,0.10904028068189399
3/1/20,Arizona,790961.0,121.26,7179943.0,2020.0,0.11016257371402531
4/1/20,Arizona,843738.0,168.45,7179943.0,2020.0,0.1175131891715575
5/1/20,Arizona,879292.0,171.62,7179943.0,2020.0,0.1224650390678589
6/1/20,Arizona,890285.0,169.42,7179943.0,2020.0,0.12399610971841978
7/1/20,Arizona,898875.0,170.68,7179943.0,2020.0,0.12519249804629368
8/1/20,Arizona,915512.0,169.8,7179943.0,2020.0,0.12750964736071024
9/1/20,Arizona,860912.0,168.28,7179943.0,2020.0,0.11990513016607514
10/1/19,Arkansas,350447.0,110.16,3017804.0,2019.0,0.11612649462986993
11/1/19,Arkansas,348052.0,110.38,3017804.0,2019.0,0.11533287118712812
12/1/19,Arkansas,348050.0,109.34,3017804.0,2019.0,0.11533220845356425
1/1/20,Arkansas,343435.0,108.33,3014195.0,2020.0,0.11393921096677553
2/1/20,Arkansas,339463.0,109.89,3014195.0,2020.0,0.11262144619044222
