State,2019,2020,2021,2022
Alabama,4903185,5031362,5049846,5074296
Arizona,7278717,7179943,7264877,7359197
Arkansas,3017804,3014195,3028122,3045637
California,39512223,39501653,39142991,39029342
Colorado,5758736,5784865,5811297,5839926
Connecticut,3565287,3597362,3623355,3626205
Florida,21477737,21589602,21828069,22244823
Georgia,10617423,10729828,10788029,10912876
Illinois,12671821,12786580,12686469,12582032
Indiana,6732219,6788799,6813532,6833037
Kentucky,4467673,4507445,4506589,4512310
Louisiana,4648794,4651664,4627098,4590241
Maine,1344212,1363557,1377238,1385340
Maryland,6045680,6173205,6174610,6164660
Massachusetts,6892503,6995729,6989690,6981974
Michigan,9986857,10069577,10037504,10034113
Minnesota,5639632,5709852,5711471,5717184
Missouri,6137428,6153998,6169823,6177957
Nevada,3080156,3115648,3146402,3177772
New Hampshire,1359711,1378587,1387505,1395231
New Mexico,2096829,2118390,2116677,2113344
New York,19453561,20108296,19857492,19677151
North Carolina,10488084,10449445,10565885,10698973
Ohio,11689100,11797517,11764342,11756058
Oklahoma,3956971,3964912,3991225,4019800
Oregon,4217737,4244795,4256301,4240137
Pennsylvania,12801989,12994440,13012059,12972008
Rhode Island,1059361,1096345,1096985,1093734
South Carolina,5148714,5131848,5193266,5282634
South Dakota,884659,887799,896164,909824
Tennessee,6829174,6925619,6968351,7051339
Texas,28995881,29232474,29558864,30029572
Utah,3205958,3283785,3339113,3380800
Vermont,623989,642893,646972,647064
Virginia,8535519,8636471,8657365,8683619
Washington,7614893,7724031,7740745,7785786
West Virginia,1792147,1791420,1785526,1775156
Wisconsin,5822434,5896271,5880101,5892539
Wyoming,578759,577605,579483,581381
