Date,State,Category,Dollars,Unit sales
10/6/19,Alabama,Alcohol,23611285,2974221
10/13/19,Alabama,Alcohol,23220758,2895573
10/20/19,Alabama,Alcohol,21770283,2730939
10/27/19,Alabama,Alcohol,21956558,2764970
11/3/19,Alabama,Alcohol,23183482,2872683
11/10/19,Alabama,Alcohol,22305042,2787906
11/17/19,Alabama,Alcohol,21752827,2715427
11/24/19,Alabama,Alcohol,22163189,2765197
12/1/19,Alabama,Alcohol,27789778,3220147
12/8/19,Alabama,Alcohol,20495494,2592792
12/15/19,Alabama,Alcohol,20781878,2594439
12/22/19,Alabama,Alcohol,23981651,2879960
12/29/19,Alabama,Alcohol,25197834,2904698
1/5/20,Alabama,Alcohol,21567138,2639782
1/12/20,Alabama,Alcohol,19396186,2465199
1/19/20,Alabama,Alcohol,20285818,2540965
1/26/20,Alabama,Alcohol,19559231,2426600
2/2/20,Alabama,Alcohol,20591010,2580436
2/9/20,Alabama,Alcohol,20827318,2616737
2/16/20,Alabama,Alcohol,21375492,2692128
2/23/20,Alabama,Alcohol,20374580,2553396
3/1/20,Alabama,Alcohol,21199217,2637953
3/8/20,Alabama,Alcohol,21607537,2699994
3/15/20,Alabama,Alcohol,26309198,3099867
3/22/20,Alabama,Alcohol,26996715,3067960
3/29/20,Alabama,Alcohol,25294042,2938816
4/5/20,Alabama,Alcohol,27975407,3127221
4/12/20,Alabama,Alcohol,25108986,2846429
4/19/20,Alabama,Alcohol,26211850,2982017
4/26/20,Alabama,Alcohol,27141024,3117782
5/3/20,Alabama,Alcohol,28816361,3239826
5/10/20,Alabama,Alcohol,28278706,3210498
5/17/20,Alabama,Alcohol,28793371,3309051
5/24/20,Alabama,Alcohol,30049370,3364652
5/31/20,Alabama,Alcohol,28492784,3234623
6/7/20,Alabama,Alcohol,28539144,3284750
6/14/20,Alabama,Alcohol,27498496,3197205
6/21/20,Alabama,Alcohol,28350174,3272828
6/28/20,Alabama,Alcohol,27001327,3140789
7/5/20,Alabama,Alcohol,29682914,3325527
7/12/20,Alabama,Alcohol,25817315,3008214
7/19/20,Alabama,Alcohol,26493111,3073839
7/26/20,Alabama,Alcohol,25483751,3004478
8/2/20,Alabama,Alcohol,26132956,3049322
8/9/20,Alabama,Alcohol,27144918,3217858
8/16/20,Alabama,Alcohol,26470151,3070030
8/23/20,Alabama,Alcohol,26067085,3044017
8/30/20,Alabama,Alcohol,25184441,3013798
9/6/20,Alabama,Alcohol,28000608,3277918
9/13/20,Alabama,Alcohol,26764751,3084107
9/20/20,Alabama,Alcohol,25338059,2918534
9/27/20,Alabama,Alcohol,26043113,2958699
10/4/20,Alabama,Alcohol,26247251,3049093
10/11/20,Alabama,Alcohol,25118109,2959993
10/18/20,Alabama,Alcohol,25280934,2978370
10/25/20,Alabama,Alcohol,24802908,2912923
11/1/20,Alabama,Alcohol,26472604,3083445
11/8/20,Alabama,Alcohol,24571094,2895000
11/15/20,Alabama,Alcohol,24158286,2834622
11/22/20,Alabama,Alcohol,25556528,2940573
11/29/20,Alabama,Alcohol,26289499,2917550
12/6/20,Alabama,Alcohol,22766611,2717253
12/13/20,Alabama,Alcohol,23434610,2776295
12/20/20,Alabama,Alcohol,25217888,2908871
12/27/20,Alabama,Alcohol,27004588,2965229
1/3/21,Alabama,Alcohol,26586749,3009409
1/10/21,Alabama,Alcohol,21703012,2615312
1/17/21,Alabama,Alcohol,22958205,2694119
1/24/21,Alabama,Alcohol,22770952,2702541
1/31/21,Alabama,Alcohol,22866989,2708671
2/7/21,Alabama,Alcohol,23349282,2746095
2/14/21,Alabama,Alcohol,23458399,2733573
2/21/21,Alabama,Alcohol,22152532,2563803
2/28/21,Alabama,Alcohol,24463575,2899207
3/7/21,Alabama,Alcohol,23953372,2818018
3/14/21,Alabama,Alcohol,25483671,2962174
3/21/21,Alabama,Alcohol,25301612,2947815
3/28/21,Alabama,Alcohol,25222754,2924803
4/4/21,Alabama,Alcohol,25994559,2975040
4/11/21,Alabama,Alcohol,25943939,2994591
4/18/21,Alabama,Alcohol,25246949,2901642
4/25/21,Alabama,Alcohol,25084452,2904013
5/2/21,Alabama,Alcohol,26578039,3033206
5/9/21,Alabama,Alcohol,25839873,2914744
5/16/21,Alabama,Alcohol,25228360,2876668
5/23/21,Alabama,Alcohol,26935818,3064953
5/30/21,Alabama,Alcohol,29215935,3221885
6/6/21,Alabama,Alcohol,26083627,2963373
6/13/21,Alabama,Alcohol,24764362,2819791
6/20/21,Alabama,Alcohol,26502661,3023156
6/27/21,Alabama,Alcohol,26217970,2979477
7/4/21,Alabama,Alcohol,29874892,3333010
7/11/21,Alabama,Alcohol,25715618,2897718
7/18/21,Alabama,Alcohol,25555368,2960531
7/25/21,Alabama,Alcohol,25412465,2922157
8/1/21,Alabama,Alcohol,25963817,2995529
8/8/21,Alabama,Alcohol,25645565,2950225
8/15/21,Alabama,Alcohol,25469602,2945325
8/22/21,Alabama,Alcohol,23935461,2803744
8/29/21,Alabama,Alcohol,25136525,2911089
9/5/21,Alabama,Alcohol,27550436,3129994
9/12/21,Alabama,Alcohol,25762415,2958505
9/19/21,Alabama,Alcohol,24149994,2798890
9/26/21,Alabama,Alcohol,25183384,2887025
10/3/21,Alabama,Alcohol,25445587,2927050
10/10/21,Alabama,Alcohol,25422750,2908756
10/17/21,Alabama,Alcohol,24991550,2907719
10/24/21,Alabama,Alcohol,24260562,2799394
10/31/21,Alabama,Alcohol,24510140,2825299
11/7/21,Alabama,Alcohol,23568209,2778056
11/14/21,Alabama,Alcohol,24646066,2907178
